Hanji,TL
假痟,ké-siáu
做痢,tsò-lī
停睏,thîng-khùn
副業,hù-gia̍p
停跤,thîng-kha
停電,thîng-tiān
偌爾,guā-nī
剪綹仔,tsián-liú--á
剪綹仔,tsián-liú-á
假銀票,ké-gîn-phiò
假銀票,ké-gûn-phiò
偏僻,phian-phiah
假影,ké-iánn
做瘦氣,tsuè-sán-khuì
做瘦氣,tsò-sán-khuì
做親情,tsuè-tshin-tsiânn
做親情,tsò-tshin-tsiânn
偏頭,phinn-thâu
做頭,tsuè-thâu
做頭,tsò-thâu
做戲,tsuè-hì
做戲,tsò-hì
偌濟,guā-tsuē
偌濟,guā-tsē
做醮,tsuè-tsiò
做醮,tsò-tsiò
做醮,tsòr-tsiòr
做議量,tsuè-gī-niū
做議量,tsò-gī-niū
做譴損,tsuè-khiàn-sńg
做譴損,tsò khiàn-sńg
做譴損,tsò-khiàn-sńg
偷聽,thau thiann
勒,li̍k
動,tāng
動,tōng
務,bū
匏,pû
匙,sî
匾,pián
區,khu
區,oo
參,serm
參,sim
參,som
參,song
參,tsham
唌,siânn
唬,hóo
唱,tshiàng
唱,tshiòng
唱,tshiònn
唱,tshiòr
唱,tshiùnn
唸,liām
啄,teh
啄,terh
啄,tok
啉,lim
啊,--ah
問,būn
問,mn̄g
問,mňg
問,muī
啖,tam
啖,tām
唯一,uî-it
唌人,siânn--lâng
唬人,hóo--lâng
動土,tāng-thóo
動工,tāng-kang
啞口,é-káu
啞口,énn-káu
區公所,khu-kong-sóo
動手,tāng-tshiú
啉水,lim tsuí
匏仔,pû-á
參仔,sim-á
參加,tsham-ka
啟示,khé-sī
商行,siong-hâng
參考冊,tsham-khó-tsheh
動作,tōng-tsok
區別,khu-pia̍t
商店,siong-tiàm
動物,tōng-bu̍t
商品,siong-phín
動員,tōng-uân
商展,siong-tián
唬秤頭,hóo-tshìn-thâu
參茸,sim-jiông
參茸,sim-liông
啉茶,lim tê
啉酒,lim tsiú
啉酒,lim-tsiú
區域,khu-hi̍k
匏桸,pû-hia
動產,tōng-sán
商船,siong-tsûn
商場,siong-tiûnn
啉湯,lim thng
啟發,khé-huat
商量,siong-liông
動搖,tōng-iâu
商業,siong-gia̍p
參詳,tsham-siông
動箸,tāng-tī
動箸,tāng-tū
啄鼻仔,tok-phīnn-á
商標,siong-phiau
動機,tōng-ki
動靜,tōng-tsīng
啄龜,tok-ku
啖糝,tām-sám
唱聲,tshiàng-siann
勘驗,kham-giām
啥,sannh
啥,siannh
啥,siánn
啦,--lah
圇,lun
圇,lûn
圇,nn̂g
圇,nuî
圇,n̂g
國,kok
埠,poo
埠,pōo
埤,pi
培,puê
培,puē
堂,tn̂g
堂,tông
堅,kian
堆,tui
堵,tóo
夠,kàu
娶,tshuā
啥人,siáng
啥人,siánn-lâng
啥人,siâng
夠工,kàu-kang
國中,kok-tiong
國內,kok-lāi
夠分,kàu-hun
堅巴,kian-pa
夠水,kàu-tsuí
基本,ki-pún
夠本,kàu-pún
國立,kok-li̍p
夠用,kàu-īng
基地,ki-tuē
基地,ki-tē
執行,tsip-hîng
堅疕,kian-phí
國防,kok-hông
堅固,kian-kòo
堅定,kian-tīng
國法,kok-huat
執法,tsip-huat
啥物,siánn-mih
啥物,siánn-mí
堂的,tông--ê
堆肥,tui-puî
基金,ki-kim
堅持,kian-tshî
娶某,tshuā-bóo
娶某,tshuǎ-bóo
堅凍,kian-tàng
圈套,khuan-thò
夠氣,kàu-khuì
堅乾,kian-kuann
堂堂,tông-tông
夠夠,kàu-kàu
啥貨,siánn-huè
啥貨,siánn-hè
啥貨,sánn-huè
啥貨,sánn-hè
啥貨,sánn-hèr
啥款,siánn-khuán
奢華,tshia-hua
娶新娘,tshuā-sin-niû
娶新婦,tshuā-sin-pū
執照,tsip-tsiàu
基督,Ki-tok
基督教,Ki-tok-kàu
培墓,puē-bōng
培墓,puē-bōo
培墓,pěr-bōo
國歌,kok-kua
國語,kok-gí
國語,kok-gú
國際,kok-tsè
啥潲,siánn-siâu
培養,puê-ióng
埠頭,poo-thâu
基礎,ki-tshóo
夠額,kàu-gia̍h
奢颺,tshia-iānn
國寶,kok-pó
國籍,kok-tsi̍k
婆,pô
婆,pôr
婚,hun
婦,hū
婦,pū
寄,kià
寄,kì
寅,în
密,ba̍t
密,bi̍t
將,tsiong
將,tsiòng
專,tsuan
婦人人,hū-jîn-lâng
婦人人,hū-lîn-lâng
婦女,hū-lí
婦女,hū-lú
將才,tsiòng-tsâi
專工,tsuan-kang
專心,tsuan-sim
婆仔,pô-á
寄付,kià-hù
寄生仔,kià-senn-á
寄生仔,kià-sinn-á
寄生仔,kiànn-senn-á
寄生仔,kiànn-sinn-á
寄生蟲,kià-senn-thâng
寄生蟲,kià-sinn-thâng
婊囝,piáu-kiánn
密告,bi̍t-kò
寄批,kià-phue
將來,tsiong-lâi
婆姐,Pô-tsiá
婆姐,Pôr-tsiá
將近,tsiong-kīn
將近,tsiong-kūn
專門,tsuan-bûn
寄金簿仔,kià-kim-phōo-á
宿怨,siok-uàn
婚約,hun-iok
將軍,Tsiong-kun
將軍,tsiong-kun
寄託,kià-thok
密婆,bi̍t-pô
密密,ba̍t-ba̍t
密喌喌,ba̍t-tsiuh-tsiuh
婊間,piáu-king
寄話,kià-uē
寂寞,tsi̍k-bo̍k
密實,ba̍t-tsa̍t
婊頭,piáu-thâu
婚禮,hun-lé
寄藥包,kià-io̍h-pau
專權,tsuan-khuân
屜,thuah
崎,kiā
崎,kiǎ
崩,pang
崩,ping
帶,tuà
帶,tài
張,tiong
張,tionn
張,tiunn
張,tng
強,kióng
強,kiông
強,kiōng
得,tik
得,tit
得人疼,tit-lâng-thiànn
得人惜,tit-lâng-sioh
崩山,Pang-suann
崩山,pang-suann
帶手,tuà-tshiú
屜仔,thuah-á
崎仔,kiā-á
崙仔,lūn-á
得失,tik-sit
常在,tshiâng-tsāi
張老,tiunn-lāu
彩色,tshái-sik
強壯,kiông-tsòng
帶孝,tuà-hà
帶身命,tài-sin-miā
張身勢,tiunn-sin-sè
強制,kiông-tsè
帶念,tài-liām
強押,kiông ah
崇拜,tsông-pài
張持,tiunn-tî
帶桃花,tài-thô-hue
帶病,tài-pēnn
帶病,tài-pīnn
帶衰,tài-sue
康健,khong-kiān
常常,siông-siông
強強,kiōng-kiōng
張掇,tiunn-tuah
強欲,kiōng-beh
強欲,kiōng-bueh
張鳥鼠,tng niáu-tshí
張鳥鼠,tng niáu-tshú
強盜,kiông-tō
強硬,kiông-ngē
強硬,kiông-ngī
張等,tng-tán
得勢,tit-sè
得意,tik-ì
強搶,kiông-tshiúnn
強摃,kiông-kòng
得罪,tik-tsuē
帶領,tuà-niá
帶膭,tuà-kuī
彩頭,tshái-thâu
強辯,kiông-piān
徙,suá
徛,khiā
徛,khiǎ
從,tshiong
從,tsiông
從,tsîng
悾,khong
情,tsiânn
情,tsîng
惜,sik
惜,sioh
惝,tshíng
戛,khiat
挲,so
挲,sor
捥,uínn
捥,áinn
捥,ńg
捧,phóng
情人,tsîng-jîn
情人,tsîng-lîn
戛火,khiat-hué
戛火,khiat-hé
惜皮,sioh-phuê
惜皮,sioh-phê
徛名,khiā-miâ
惜囝,sioh-kiánn
徙位,suá-uī
情形,tsîng-hîng
自來,tsū-lâi
從到今,tsîng-kàu-tann
惜命命,sioh-miā-miā
徛泅,khiā-siû
患者,huān-tsiá
徛屏,khiā-pîn
捨施,siá-sì
徛眉,khiā-bâi
情面,tsîng-bīn
惜面皮,sioh bīn-phuê
惜面皮,sioh bīn-phê
徛家,khiā-ke
徙栽,suá-tsai
挲草,so-tsháu
徛起,khiā-khí
悾悾,khong-khong
情理,tsîng-lí
徛票,khiā-phiò
情報,tsîng-pò
徛黃,khiā-n̂g
情勢,tsîng-sè
挲圓,so-înn
挲圓仔湯,so-înn-á-thng
情意,tsîng-ì
悾歁,khong-khám
情義,tsîng-gī
徙跤,suá-kha
徛壽,khiā-siū
悽慘,tshi-tshám
悽慘落魄,tshi-tshám-lo̍k-phik
惜福,sik-hok
徛算,khiā-sǹg
徛算講,khiā-sǹg-kóng
情緒,tsîng-sū
徛衛兵,khiā-uē-ping
徙鋪,suá-phoo
徛燈篙,khiā-ting-ko
徛頭,khiā-thâu
悾闇,khong-am
徛鵝,khiā-gô
悾顛,khong-tian
情願,tsîng-guān
徛靈,khiā lîng
徛靈,khiā-lîng
挲鹽,so-iâm
捲,kuínn
捲,kńg
捷,tsia̍p
捷,tsia̍t
捻,liàm
捻,liām
捽,sut
捾,kuānn
掀,hian
掂,tìm
掃,sàu
掃,sò
掉,tiāu
排,pâi
掖,iā
掘,ku̍t
掛,khuà
掛,kuà
掜,tau
掠,lia̍h
掠,lio̍k
採,tshái
探,thàm
探,thàn
接,tsiap
接,tsih
控,khàng
控,khòng
推,the
推,ther
推,thui
推,tshui
掩,am
掩,iám
掩,ng
掩,om
掩,uinn
掮,khainn
救,kiù
敗,pāi
教,kà
教,kàu
接力,tsih-la̍t
救人,kiù-lâng
捾水,kuānn-tsuí
捾水,kuǎnn-tsuí
掛心,khuà-sim
接手,tsiap-tshiú
捲心白,kńg-sim-pe̍h
救火,kiù-hué
救火,kiù-hé
捽仔,sut-á
掘仔,ku̍t--á
掘仔,ku̍t-á
教冊,kà-tsheh
救世主,kiù-sè-tsú
掠包,lia̍h-pau
排斥,pâi-thik
敗市,pāi-tshī
採用,tshái-iōng
教示,kà-sī
捽目尾,sut-ba̍k-bué
捽目尾,sut-ba̍k-bé
掠交替,lia̍h kau-thè
掠交替,lia̍h-kau-thuè
掠交替,lia̍h-kau-thè
排列,pâi-lia̍t
掛名,kuà-miâ
推行,thui-hîng
救兵,kiù-ping
救助,kiù-tsōo
掠沙筋,lia̍h-sua-kin
掠沙筋,lia̍h-sua-kun
掠狂,lia̍h-kông
教育,kàu-io̍k
敏豆,bín-tāu
接受,tsiap-siū
掠兔仔,lia̍h-thòo-á
掠坦橫,lia̍h-thán-huâinn
掠坦橫,lia̍h-thán-huînn
掃帚,sàu-siú
掃帚,sàu-tshiú
掃帚,sàu-tsiú
教官,kàu-kuann
掃帚星,sàu-tshiú-tshenn
掃帚星,sàu-tshiú-tshinn
掃帚星,sàu-tsiú-tshenn
掃帚星,sàu-tsiú-tshinn
接枝,tsiap-ki
掠直,lia̍h-ti̍t
掠長補短,lia̍h-tn̂g-póo-té
掩咯雞,am-ko̍k-ke
掩咯雞,ng-ko̍k-ke
掩咯雞,ng-ko̍k-kue
接待,tsiap-thāi
救星,kiù-tshenn
救星,kiù-tshinn
教員,kàu-uân
掩崁,am-khàm
敗害,pāi-hāi
敗家,pāi-ke
教師,kàu-su
掃梳,sàu-se
掃梳,sàu-sue
掃梳笒仔,sàu-se-gím-á
掃梳笒仔,sàu-sue-giám-á
接納,tsiap-la̍p
掖秧仔,iā ng-á
教訓,kàu-hùn
接骨,tsiap-kut
排骨酥,pâi-kut-soo
掠做,lia̍h-tsuè
掠做,lia̍h-tsò
教務,kàu-bū
捷捷,tsia̍p-tsia̍p
接接,tsih-tsiap
敏捷,bín-tsia̍t
教授,kàu-siū
掩掩揜揜,ng-ng-iap-iap
捾桶仔,kuānn-tháng-á
排球,pâi-kiû
探訪,thàm-hóng
接喙,tsiap-tshuì
救援,kiù-uān
推測,thui-tshik
掛牌,kuà-pâi
掠猴,lia̍h-kâu
掠無頭摠,lia̍h-bô-thâu-tsáng
掠痧,lia̍h-sua
掠筋,lia̍h-kin
掠筋,lia̍h-kun
敗腎,pāi-sīn
推進,thui-tsìn
排隊,pâi-tuī
掃塗跤,sàu thôo-kha
掃塗跤,sàu-thôo-kha
掛意,kuà-ì
掠準,lia̍h-tsún
排解,pâi-kái
接跤,tsiap-kha
捷運,tsia̍t-ūn
接載,tsih-tsài
掃墓,sàu-bōng
掃墓,sàu-bōo
探墓厝,thàm-bōng-tshù
探墓厝,thàm-bōo-tshù
掠漏,lia̍h-lāu
掖種,iā-tsíng
敗價,pāi-kè
推廣,thui-kóng
掛慮,khuà-lī
掛慮,kuà-lī
掛慮,kuà-lū
推撨,tshui-tshiâu
推論,thui-lūn
推銷,thui-siau
教學,kàu-ha̍k
掠篙泅,lia̍h-ko-siû
探親,thàm-tshin
探頭,thàm-thâu
掠龍,lia̍h-lîng
掠龜走鱉,lia̍h-ku-tsáu-pih
掠龍的,lia̍h-lîng--ê
捲螺仔風,kuínn-lê-á-hong
捲螺仔風,kńg-lê-á-hong
捲螺仔風,kńg-lê-á-hong
捲螺仔風,kńg-lêr-á-hong
捲螺仔風,kńg-lêr-á-huang
捲螺仔旋,kuínn-lê-á-tsuīnn
捲螺仔旋,kńg-lê-á-tsn̄g
採購,tshái-kòo
捲薰,kńg-hun
掛礙,kuà-gāi
推辭,the-sî
接觸,tsiap-tshiok
接續,tsiap-sio̍k
救護,kiù-hōo
敗露,pāi-lōo
救護車,kiù-hōo-tshia
探聽,thàm-thiann
斜,siâ
斜,tshiâ
斜,tshua̍h
旋,suan
旋,suân
旋,tsn̄g
旋,tsňg
旋,tsuīnn
族,tso̍k
晝,tiù
晝,tàu
晡,poo
望,bāng
望,bōng
桮,pue
桱,kènn
桱,kìnn
桶,tháng
桷,kak
桸,hia
桿,kuáinn
梅,buê
梅,muâi
梅,muê
梅,muî
梅,m̂
桱仔,kènn-á
桱仔,kìnn-á
桶仔,tháng-á
桷仔,kak--á
桷仔,kak-á
梅仔,muê-á
梅仔,m̂-á
梅仔餅,muê-á-piánn
梅仔餅,m̂-á-piánn
斜目,tshiâ-ba̍k
斜角,tshua̍h-kak
梅花,muî-hue
桶柑,tháng-kam
梁柱,niû-thiāu
梅毒,muâi-to̍k
梅毒,muê-to̍k
梅毒,muî-to̍k
桶捾,tháng-kuānn
桶筍,tháng-sún
斜視,siâ-sī
桶箍,tháng-khoo
桶蓋,tháng-kuà
桶盤,tháng-puânn
族親,tso̍k-tshin
旋藤,suan-tîn
族譜,tso̍k-phóo
條,liâu
條,tiâu
梢,sau
梨,lâi
梨,lê
梯,the
梯,thui
欲,beh
欲,berh
欲,boh
欲,bueh
欲,io̍k
欶,suh
欸,--eh
殺,sat
液,i̍k
液,sio̍h
涼,liâng
涼,niû
欶水,suh tsuí
殺手,sat-tshiú
涼水,liâng-tsuí
梨仔,lâi--á
梨仔,lâi-á
棄世,khì-sè
欶奶,suh ling
欶奶,suh ni
殺生,sat-sing
條件,tiâu-kiānn
欲死欲活,beh-sí-beh-ua̍h
欲死欲活,bueh-sí-bueh-ua̍h
欲呢,beh-nî
欲呢,bueh-nî
條直,tiâu-ti̍t
欲知,beh-tsai
欲知,bueh-tsai
涵空,âm-khang
涼亭,liâng-tîng
條約,tiâu-iok
涼風,liâng-hong
殺害,sat-hāi
梧桐,ngôo-tông
殺氣,sat-khì
梢梢,sau-sau
涼傘,niû-suànn
條款,tiâu-khuán
梟雄,hiau-hiông
涼勢,liâng-sè
棄嫌,khì-hiâm
欲暗仔,beh-àm--á
欲暗仔,beh-àm-á
欲暗仔,berh-àm--á
欲暗仔,bueh-àm-á
涵溝,âm-kau
欶管,suh-kóng
梢聲,sau-siann
棄權,khì-khuân
淋,lâm
淋,lîm
淘,tô
淚,luī
深,tshim
淹,im
淺,khín
淺,tshián
添,thiam
添,thinn
清,tshing
清,tshinn
清,tshuinn
烰,phû
添丁,thiam-ting
淑女,siok-lí
淑女,siok-lú
淮山,huâi-san
淹大水,im-tuā-tsuí
深井,tshim-tsénn
深井,tshim-tsínn
淋水,lâm-tsuí
淡水,Tām-tsuí
淹水,im-tsuí
清心,tshing-sim
清水,Tshing-tsuí
清水,tshing-tsuí
清火,tshing-hué
清火,tshing-hé
清白,tshing-pi̍k
深交,tshim-kau
混合,hūn-ha̍p
淹死,im--sí
淺色,tshián-sik
深坑,Tshim-khinn
深坑,tshim-khenn
深坑,tshim-khinn
清秀,tshing-siù
淺見,tshián-kiàn
深刻,tshim-khik
深夜,tshim-iā
淺拖仔,tshián-thua-á
添油香,thiam-iû-hiunn
清芳,tshing-phang
淋雨,lâm-hōo
深度,tshim-tōo
清幽,tshing-iu
淨香,tsīng-hiunn
清氣,tshing-khì
清氣相,tshing-khì-siùnn
淺眠,tshián-bîn
清茶,tshing-tê
清酒,tshing-tsiú
深淺,tshim-tshián
清淨,tshing-tsīng
深造,tshim-tsō
淪陷,lûn-hām
清單,tshing-tuann
清寒,tshing-hân
添粧,thiam-tsng
清閒,tshing-îng
添飯,thinn-pn̄g
淫亂,îm-luān
混亂,hūn-luān
淺想,tshián-siūnn
清廉,tshing-liâm
添話,thinn-uē
添福壽,thiam-hok-siū
清數,tshing-siàu
清潔,tshing-kiat
清糜,tshing-bê
清糜,tshing-muê
淡薄仔,tām-po̍h-á
焐,ù
爽,sóng
爽,sńg
牽,khan
牽,khian
圈,khian
圈,khuan
犁,lerê
犁,luê
犁,lê
猛,bíng
猛,mé
猜,tshai
現,hiàn
現,hiān
球,kiû
牽亡,khan-bông
牽公,khan-kong
牽手,khan-tshiú
牽牛,khan-gû
猛火,mé-hué
猛火,mé-hé
圈仔,khian-á
現世,hiān-sì
現代,hiān-tāi
犁田,luê-tshân
犁田,lê-tshân
牽成,khan-sîng
現此時,hiān-tshú-sî
牽尪姨,khan-ang-î
爽快,sóng-khuài
牽車,khan-tshia
牽抾,khan-khioh
牽拖,khan-thua
現拄現,hiān-tú-hiān
牽的,khan--ê
現金,hiān-kim
現流仔,hiān-lâu-á
牽師仔,khan sai-á
牽挽,khan-bán
牽核仔,khan-ha̍t-á
牽粉,khan-hún
牽罟,khan-koo
現胸,hiàn-hing
猛將,bíng-tsiòng
球桮,kiû-pue
現現,hiān-hiān
牽連,khan-liân
現場,hiān-tiûnn
球場,kiû-tiûnn
牽猴仔,khan-kâu-á
牽絲,khan-si
現象,hiān-siōng
球間,kiû-king
猜想,tshai-sióng
現實,hiān-si̍t
猜疑,tshai-gî
球箠,kiû-tshuê
球箠,kiû-tshê
牽線,khan-suànn
牽豬哥,khan-ti-ko
牽豬哥,khan-tu-ko
球鞋,kiû-uê
球鞋,kiû-ê
猛醒,mé-tshénn
猛醒,mé-tshínn
球賽,kiû-sài
猛獸,bíng-siù
牽羹,khan-kenn
牽羹,khan-kinn
牽羅經,khan-lô-kenn
牽羅經,khan-lô-kinn
牽藤,khan-tîn
理,lí
瓶,pân
瓷,huî
甜,tinn
產,sán
疏,se
疏,soo
疏,sòo
痔,tī
痕,hûn
盒,a̍h
盒,a̍p
盛,Sīng
盛,siānn
盛,sīng
眯,bî
眵,tshuh
眷,kuàn
眼,gán
眼,gíng
眼力,gán-li̍k
眾人,tsìng-lâng
瓷仔,huî-á
略仔,lio̍h-á
盒仔,a̍h-á
盒仔,a̍p-á
瓷仔店,huî-á-tiàm
盒仔餅,a̍p-á-piánn
甜瓜,tinn-kue
眵目,tshuh-ba̍k
眼光,gán-kong
產地,sán-tuē
產地,sán-tē
甜豆,tinn-tāu
甜言蜜語,tinn-giân-bi̍t-gí
甜言蜜語,tinn-giân-bi̍t-gú
理事,lí-sū
異性,ī-sìng
疏忽,soo-hut
眼前,gán-tsiân
眼科,gán-kho
硃砂痣,tsu-se-kì
眼神,gán-sîn
甜粅粅,tinn-but-but
甜茶,tinn-tê
理財,lí-tsâi
產婆,sán-pô
產婆,sán-pôr
產婦,sán-hū
眵眵,tshuh-tshuh
略略仔,lio̍h-lio̍h-á
甜湯,tinn-thng
疏開,soo-khai
產業,sán-gia̍p
理解,lí-kái
痕跡,hûn-jiah
痕跡,hûn-liah
甜路,tinn-lōo
甜粿,tinn-kué
甜粿,tinn-ké
甜粿,tinn-kér
甜蜜,tinn-bi̍t
疏遠,soo-uán
痔瘡,tī-tshng
痔瘡,tǐ-tshng
理論,lí-lūn
疏櫳,se-lang
眷屬,kuàn-sio̍k
票,phiàu
票,phiò
祭,tsè
窒,that
章,tsiong
章,tsionn
章,tsiunn
笠,lere̍h
笠,le̍h
笠,li̍p
笠,lue̍h
符,Hû
符,hû
笨,pūn
第,tē
笱,kô
第一,tē-it
祭文,tsè-bûn
窒仔,that-á
笠仔,lerē-á
笠仔,le̍h-á
笠仔,lue̍h--á
笠仔,lue̍h-á
笠仔,lē-á
符仔,hû-á
祧仔內,thiāu-á-lāi
移民,î-bîn
符合,hû-ha̍p
符咒,hû-tsiù
祭孤,tsè-koo
祭祀,tsè-sū
窒倒街,that-tó-ke
窒倒街,that-tó-kue
祭祖,tsè-tsóo
移動,î-tōng
窒喙空,that-tshuì-khang
竟然,kìng-jiân
竟然,kìng-liân
章程,tsiong-thîng
符號,hû-hō
硫磺,liû-hông
硫磺,liû-n̂g
祭獻,tsè-hiàn
粒,lia̍p
粕,phoh
粕,phok
粕,phorh
粗,tshoo
紩,thīnn
紩,thǐnn
紬,thiu
紮,tsah
紮,tsap
紮,tsat
細,serè
細,suè
細,sè
紲,suà
紺,khóng
絃,hiân
組,tsoo
絆,puàn
絆,puànn
缽,puah
缽,puat
羞,siu
羞,tshiu
統一,thóng-it
粗人,tshoo-lâng
粗工,tshoo-kang
紳士,sin-sū
紹介,siāu-kài
紲手,suà-tshiú
粒仔,lia̍p-á
絃仔,hiân-á
粗布,tshoo-pòo
紮布,tsah-pòo
粗用,tshoo-īng
細囝,suè-kiánn
細囝,sè-kiánn
組合,tsoo-ha̍p
紺色,khóng-sik
細位,suè-uī
細位,sè-uī
終身,tsiong-sin
細叔,suè-tsik
細叔,sè-tsik
粗坯,tshoo-phe
粗坯,tshoo-phue
紲拍,suà-phah
粗俗,tshoo-sio̍k
粗勇,tshoo-ióng
粗俗物仔,tshoo-sio̍k-mih-á
粗俗貨,tshoo-sio̍k-huè
粗俗貨,tshoo-sio̍k-hè
細姨,serè-î
細姨,suè-î
細姨,sè-î
粗穿,tshoo-tshīng
粗重,tshoo-tāng
紩衫,thīnn sann
紩衫,thīnn-sann
統計,thóng-kè
粗紙,thoo-tsuá
粗紙,tshoo-tsuá
粗桶,thoo-tháng
粗桶,tshio-tháng
粗桶,tshoo-tháng
粗瓷,tshoo-huî
粕粕,phoh-phoh
細粒子,suè-lia̍p-tsí
細粒子,sè-lia̍p-tsí
紲喙,suà-tshuì
紲喙尾,suà-tshuì-bué
紲喙尾,suà-tshuì-bé
細菌,suè-khún
細菌,sè-khún
粗菜便飯,tshoo-tshài piān-pn̄g
紲落去,suà--lo̍h-khì
粗飽,tshoo-pá
習慣,si̍p-kuàn
細漢,serè-hàn
細漢,suè-hàn
細漢,sè-hàn
粗魯,tshoo-lóo
粒積,lia̍p-tsik
累積,luí-tsik
細膩,suè-lī
細膩,sè-jī
紹興酒,siāu-hing-tsiú
紮錢,tsah tsînn
組頭,tsoo-thâu
粗糠,tshoo-khng
細聲,suè-siann
細聲,sè-siann
組織,tsoo-tsit
脣,tûn
脫,thuah
脫,thuat
脫,thut
脫,thu̍t
脯,póo
舂,tsing
船,tsûn
莊,tsng
莊,tsong
舵公,tāi-kong
脫手,thuat-tshiú
耞仔,kénn-á
耞仔,kínn-á
船主,tsûn-tsú
船仔,tsûn-á
荷包,hâ-pau
舂米,tsing-bí
舂臼,tsing-khū
船尾,tsûn-bué
船尾,tsûn-bé
脫走,thuat-tsáu
脫身,thuat-sin
船員,tsûn-uân
脯脯,póo-póo
聊聊仔,liâu-liâu-á
船期,tsûn-kî
脫種,thuat-tsíng
船廠,tsûn-tshiúnn
脫箠,thut-tshuê
脫箠,thut-tshê
脫線,thuat-suànn
脫輪,thu̍t-lûn
船艙,tsûn-tshng
船頭,tsûn-thâu
脫離,thuat-lī
莊嚴,tsong-giâm
荷蘭豆,hoo-lian-tāu
荷蘭豆,huê-liân-tāu
莢,gereh
莢,gueh
莢,kueh
莢,ngeh
莢,ngueh
莫,bo̍h
莫,bo̍k
莫,mài
蚵,ô
蚵,ôr
蚶,ham
蛀,tsiù
蛀,tsù
蛆,tshi
蛆,tshir
蛆,tshu
蛇,siâ
蛇,tsuâ
處方,tshú-hng
蚵仔,ô-á
蚵仔,ôr-á
蚶仔,ham-á
蚵仔煎,ô-á-tsian
蚵仔麵線,ô-á-mī-suànn
蛇瓜,tsuâ-kue
處份,tshú-hūn
莫怪,bo̍k-kuài
莫非,bo̍k-hui
蚵炱,ô-te
處理,tshú-lí
莧菜,hāng-tshài
莧菜,hīng-tshài
莧菜,hǐng-tshài
處置,tshú-tì
處罰,tshú-hua̍t
蛀鼻,tsiù-phīnn
蛀齒,tsiù-khí
蛀龜仔,tsiù-ku-á
莫講,mài-kóng
蛀蟲,tsiù-thâng
術,su̍t
袋,tāi
袋,tē
袋,tēr
袋,těr
袚,phua̍h
被,phuē
被,phē
被,phēr
被,pī
規,kui
覓,bi̍k
覓,buâ
覓,bā
覓,bǎ
覓,māi
訣,kuat
設,siat
豉,sīnn
豉,sǐnn
規个,kui-ê
規千萬,kui-tshing-bān
規心,kui-sim
規爿,kui-pîng
袋仔,tē-á
袋仔,tēr-á
規世人,kui-sì-lâng
許可,hí-khó
許可,hú-khó
設立,siat-li̍p
規年迵天,kui-nî-thàng-thinn
歸尾,kui-bué
歸尾,kui-bé
設局,siat-kio̍k
規身軀,kui-sin-khu
規定,kui-tīng
規則,kui-tsik
規律,kui-lu̍t
設施,siat-si
設計,siat-kè
規面,kui bīn
規氣,kui-khì
規矩,kui-kí
規矩,kui-kú
規陣,kui-tīn
訪問,hóng-būn
規堆,kui-tui
設備,siat-pī
被單,phuē-tuann
被單,phē-tuann
設想,siat-sióng
規腹火,kui-pak-hué
規腹火,kui-pak-hé
規路,kui-lōo
豉膎,sīnn-kuê
豉膎,sīnn-kê
規模,kui-bôo
設緣投,siat-iân-tâu
鴟鴞,ba̍h-hio̍h
鴟鴞,ba̍h-hiō
鴟鴞,bā-hio̍h
鴟鴞,lā-hio̍h
鴟鴞,lāi-hio̍rh
鴟鴞,lāi-hiō
鴟鴞,muā-hio̍h
鴟鴞,na̍h-hio̍rh
鴟鴞,nā-hio̍h
袚鍊,phua̍h-liān
被囊,phuē-lông
被囊,phē-lông
豉鹽,sīnn-iâm
貨,huè
貨,hè
貨,hèr
貨,hò
貨,hònn
販,huàn
販,phuànn
貪,tham
貫,kuàn
貫,kuìnn
貫,kǹg
赦,sià
趼,lan
跂,kué
跂,ké
跂,kér
軟,luán
軟,nuí
軟,nńg
透,thàu
透,thò
逐,giok
逐,jik
逐,jiok
逐,jip
逐,lip
逐,ta̍k
逐,tio̍k
逐,tsip
途,tôo
這,tse
這,tsit
通,thang
通,thong
逝,tsuā
逞,thíng
造,tsō
連,liâm
連,liân
連,nî
軟𩛩𩛩,nńg-kauh-kauh
軟㽎㽎,nńg-sìm-sìm
逐个,ta̍k ê
透中晝,thàu-tiong-tàu
貪心,tham-sim
軟心,nńg-sim
透日,thàu-ji̍t
透日,thàu-li̍t
逐日,ta̍k-ji̍t
逐日,ta̍k-li̍t
造化,tsō-huà
造反,tsō-huán
透心涼,thàu-sim-liâng
貨主,huè-tsú
貨主,hè-tsú
販仔,huàn-á
透世人,thàu-sì-lâng
這世人,tsit-sì-lâng
販仔白,huàn-á-pe̍h
通用,thong-iōng
責任,tsik-jīm
責任,tsik-līm
通光,thang-kng
連回,liân-huê
透年,thàu-nî
逐年,ta̍k-nî
透早,thàu-tsá
貧血,pîn-hiat
貨色,huè-sik
貨色,hè-sik
赦免,sià-bián
貨尾,huè-bué
貨尾,hè-bé
透尾,thàu-bué
透尾,thàu-bé
通批,thong-phue
軟汫,nńg-tsiánn
貨底,huè-té
貨底,hè-tué
貪官汙吏,tham-kuann-ù-lī
通知,thong-ti
透雨,thàu-hōo
通姦,thong-kan
速度,sok-tōo
透流,thàu-lâu
貪食,tham-tsia̍h
透風,thàu-hong
通風,thang-hong
販厝,huàn-tshù
逐家,ta̍k-ke
軟弱,luán-jio̍k
軟弱,luán-lio̍k
